Target Correlation,Orthogonality Weight,Proxy,Count
proxy_0.95,0.68,V201243,2
proxy_0.95,0.68,V201352,3
proxy_0.95,0.68,auth_grid_3,1
proxy_0.95,0.68,race,1
proxy_0.95,0.68,V201131,1
proxy_0.95,0.68,V201215,5
proxy_0.95,0.68,V201503,1
proxy_0.95,0.68,V201511x,3
proxy_0.95,0.68,immigrant_citizenship,5
proxy_0.95,0.68,V201628,1
proxy_0.95,0.68,pff_dt,4
proxy_0.95,0.68,V201502,1
proxy_0.95,0.68,V201501,1
proxy_0.95,0.68,V201407,1
proxy_0.95,0.68,V201415,3
proxy_0.95,0.68,V201410,1
proxy_0.95,0.68,V201218,2
proxy_0.95,0.68,pff_jb,2
proxy_0.95,0.68,V201248,1
proxy_0.95,0.68,V201507x,1
proxy_0.95,0.68,auth_grid_2,2
proxy_0.95,0.68,V201514x,1
proxy_0.95,0.68,V201456,1
proxy_0.95,0.68,V201233,1
proxy_0.95,0.68,auth_grid_1,1
proxy_0.95,0.68,V201256,2
proxy_0.95,0.68,educ,1
proxy_0.95,0.68,V201112,1
proxy_0.95,0.69,V201215,5
proxy_0.95,0.69,V201503,4
proxy_0.95,0.69,immigrant_citizenship,6
proxy_0.95,0.69,auth_grid_2,3
proxy_0.95,0.69,V201387,2
proxy_0.95,0.69,V201213,4
proxy_0.95,0.69,V201415,7
proxy_0.95,0.69,V201501,1
proxy_0.95,0.69,V201453,1
proxy_0.95,0.69,V201502,1
proxy_0.95,0.69,faminc_new,1
proxy_0.95,0.69,V201256,2
proxy_0.95,0.69,V201511x,2
proxy_0.95,0.69,V201651,1
proxy_0.95,0.69,pff_dt,2
proxy_0.95,0.69,immigrant_deport,1
proxy_0.95,0.69,V201456,1
proxy_0.95,0.69,V201214,1
proxy_0.95,0.69,V201634e,1
proxy_0.95,0.69,auth_grid_1,1
proxy_0.95,0.69,V201248,1
proxy_0.95,0.69,pff_jb,1
proxy_0.95,0.69,election_fairnness,1
proxy_0.95,0.7,V201215,5
proxy_0.95,0.7,V201501,2
proxy_0.95,0.7,immigrant_citizenship,5
proxy_0.95,0.7,V201503,5
proxy_0.95,0.7,V201410,1
proxy_0.95,0.7,V201213,3
proxy_0.95,0.7,V201346,1
proxy_0.95,0.7,auth_grid_2,2
proxy_0.95,0.7,V201112,4
proxy_0.95,0.7,auth_grid_3,1
proxy_0.95,0.7,V201415,4
proxy_0.95,0.7,pff_dt,3
proxy_0.95,0.7,V201538,1
proxy_0.95,0.7,V201460,1
proxy_0.95,0.7,V201256,1
proxy_0.95,0.7,V201248,1
proxy_0.95,0.7,V201456,3
proxy_0.95,0.7,V201453,2
proxy_0.95,0.7,V201164,1
proxy_0.95,0.7,faminc_new,1
proxy_0.95,0.7,V201511x,1
proxy_0.95,0.7,immigrant_deport,1
proxy_0.95,0.7,V201555,1
proxy_0.95,0.71,V201501,2
proxy_0.95,0.71,immigrant_citizenship,3
proxy_0.95,0.71,V201453,4
proxy_0.95,0.71,V201503,3
proxy_0.95,0.71,V201421,2
proxy_0.95,0.71,V201511x,2
proxy_0.95,0.71,V201215,5
proxy_0.95,0.71,V201415,4
proxy_0.95,0.71,V201112,1
proxy_0.95,0.71,race,1
proxy_0.95,0.71,auth_grid_3,2
proxy_0.95,0.71,V201229,2
proxy_0.95,0.71,V201387,2
proxy_0.95,0.71,V201410,3
proxy_0.95,0.71,V201248,1
proxy_0.95,0.71,V201423x,1
proxy_0.95,0.71,V201632n,1
proxy_0.95,0.71,V201407,1
proxy_0.95,0.71,V201243,1
proxy_0.95,0.71,pff_jb,1
proxy_0.95,0.71,auth_grid_2,2
proxy_0.95,0.71,V201534x,1
proxy_0.95,0.71,V201340,1
proxy_0.95,0.71,V201352,1
proxy_0.95,0.71,V201630r,1
proxy_0.95,0.71,V201628,1
proxy_0.95,0.71,pff_dt,1
proxy_0.95,0.72,V201410,9
proxy_0.95,0.72,V201418,1
proxy_0.95,0.72,V201503,3
proxy_0.95,0.72,V201352,1
proxy_0.95,0.72,V201628,1
proxy_0.95,0.72,V201229,1
proxy_0.95,0.72,V201415,6
proxy_0.95,0.72,V201388,1
proxy_0.95,0.72,V201534x,2
proxy_0.95,0.72,V201247,1
proxy_0.95,0.72,V201456,2
proxy_0.95,0.72,V201206,1
proxy_0.95,0.72,V201215,2
proxy_0.95,0.72,immigrant_citizenship,2
proxy_0.95,0.72,V201372x,1
proxy_0.95,0.72,auth_grid_2,2
proxy_0.95,0.72,pff_dt,1
proxy_0.95,0.72,pff_jb,1
proxy_0.95,0.72,V201538,1
proxy_0.95,0.72,V201423x,1
proxy_0.95,0.72,V201453,3
proxy_0.95,0.72,V201454,1
proxy_0.95,0.72,V201634m,1
proxy_0.95,0.72,V201562,1
proxy_0.95,0.72,V201590,1
proxy_0.95,0.72,V201421,1
proxy_0.95,0.72,V201131,1
proxy_0.95,0.72,educ,1
proxy_0.95,0.73,V201634m,1
proxy_0.95,0.73,immigrant_citizenship,6
proxy_0.95,0.73,V201418,1
proxy_0.95,0.73,V201410,11
proxy_0.95,0.73,V201568b,1
proxy_0.95,0.73,V201233,1
proxy_0.95,0.73,V201378,1
proxy_0.95,0.73,V201503,6
proxy_0.95,0.73,V201415,3
proxy_0.95,0.73,V201037,1
proxy_0.95,0.73,V201215,3
proxy_0.95,0.73,V201164,1
proxy_0.95,0.73,V201388,1
proxy_0.95,0.73,pff_jb,1
proxy_0.95,0.73,V201112,1
proxy_0.95,0.73,V201247,1
proxy_0.95,0.73,V201511x,2
proxy_0.95,0.73,V201421,1
proxy_0.95,0.73,auth_grid_2,1
proxy_0.95,0.73,V201213,1
proxy_0.95,0.73,V201454,1
proxy_0.95,0.73,V201453,1
proxy_0.95,0.73,V201340,1
proxy_0.95,0.73,race,1
proxy_0.95,0.73,V201229,1
proxy_0.95,0.74,V201385,1
proxy_0.95,0.74,V201415,2
proxy_0.95,0.74,V201387,1
proxy_0.95,0.74,V201567,1
proxy_0.95,0.74,V201223,2
proxy_0.95,0.74,V201410,14
proxy_0.95,0.74,V201340,1
proxy_0.95,0.74,V201453,3
proxy_0.95,0.74,V201537b,1
proxy_0.95,0.74,V201503,7
proxy_0.95,0.74,V201229,1
proxy_0.95,0.74,V201456,2
proxy_0.95,0.74,V201511x,2
proxy_0.95,0.74,V201634m,1
proxy_0.95,0.74,V201247,2
proxy_0.95,0.74,V201421,1
proxy_0.95,0.74,educ,1
proxy_0.95,0.74,V201388,2
proxy_0.95,0.74,V201407,1
proxy_0.95,0.74,immigrant_citizenship,1
proxy_0.95,0.74,auth_grid_2,1
proxy_0.95,0.74,V201215,1
proxy_0.95,0.74,V201248,1
proxy_0.95,0.75,V201410,17
proxy_0.95,0.75,V201385,3
proxy_0.95,0.75,V201233,1
proxy_0.95,0.75,V201453,5
proxy_0.95,0.75,V201407,2
proxy_0.95,0.75,V201502,1
proxy_0.95,0.75,V201131,4
proxy_0.95,0.75,V201568b,1
proxy_0.95,0.75,V201415,1
proxy_0.95,0.75,V201503,3
proxy_0.95,0.75,V201456,3
proxy_0.95,0.75,V201247,1
proxy_0.95,0.75,V201632m,1
proxy_0.95,0.75,V201229,1
proxy_0.95,0.75,V201501,2
proxy_0.95,0.75,V201511x,2
proxy_0.95,0.75,V201634m,1
proxy_0.95,0.75,V201387,1
