Target Correlation,Orthogonality Weight,Proxy,Count
proxy_0.95,0.0,pff_dt,43
proxy_0.95,0.0,ideo7,2
proxy_0.95,0.0,auth_grid_2,1
proxy_0.95,0.0,immigrant_deport,1
proxy_0.95,0.0,pff_jb,3
proxy_0.95,0.55,pff_dt,22
proxy_0.95,0.55,educ,3
proxy_0.95,0.55,immigrant_citizenship,8
proxy_0.95,0.55,auth_grid_3,1
proxy_0.95,0.55,auth_grid_1,4
proxy_0.95,0.55,race,2
proxy_0.95,0.55,pff_jb,3
proxy_0.95,0.55,immigrant_deport,2
proxy_0.95,0.55,ideo7,1
proxy_0.95,0.55,auth_grid_2,2
proxy_0.95,0.55,V201243,1
proxy_0.95,0.55,V201511x,1
proxy_0.95,0.56,faminc_new,1
proxy_0.95,0.56,V201213,1
proxy_0.95,0.56,auth_grid_3,2
proxy_0.95,0.56,immigrant_citizenship,6
proxy_0.95,0.56,pff_dt,21
proxy_0.95,0.56,ideo7,2
proxy_0.95,0.56,auth_grid_1,2
proxy_0.95,0.56,pff_jb,1
proxy_0.95,0.56,V201243,1
proxy_0.95,0.56,auth_grid_2,2
proxy_0.95,0.56,educ,3
proxy_0.95,0.56,race,1
proxy_0.95,0.56,V201215,3
proxy_0.95,0.56,immigrant_deport,2
proxy_0.95,0.56,V201501,1
proxy_0.95,0.56,V201129x,1
proxy_0.95,0.57,pff_dt,21
proxy_0.95,0.57,auth_grid_3,1
proxy_0.95,0.57,V201243,1
proxy_0.95,0.57,immigrant_citizenship,6
proxy_0.95,0.57,faminc_new,2
proxy_0.95,0.57,V201452,1
proxy_0.95,0.57,auth_grid_1,2
proxy_0.95,0.57,V201215,5
proxy_0.95,0.57,educ,4
proxy_0.95,0.57,pff_jb,2
proxy_0.95,0.57,ideo7,2
proxy_0.95,0.57,auth_grid_2,1
proxy_0.95,0.57,race,2
proxy_0.95,0.58,pff_dt,19
proxy_0.95,0.58,race,2
proxy_0.95,0.58,auth_grid_1,2
proxy_0.95,0.58,immigrant_citizenship,5
proxy_0.95,0.58,faminc_new,1
proxy_0.95,0.58,pff_jb,5
proxy_0.95,0.58,V201112,1
proxy_0.95,0.58,V201215,4
proxy_0.95,0.58,auth_grid_2,3
proxy_0.95,0.58,auth_grid_3,2
proxy_0.95,0.58,educ,2
proxy_0.95,0.58,ideo7,2
proxy_0.95,0.58,V201213,1
proxy_0.95,0.58,V201243,1
proxy_0.95,0.59,pff_dt,24
proxy_0.95,0.59,auth_grid_2,2
proxy_0.95,0.59,auth_grid_1,3
proxy_0.95,0.59,auth_grid_3,2
proxy_0.95,0.59,pff_jb,2
proxy_0.95,0.59,immigrant_citizenship,3
proxy_0.95,0.59,V201215,3
proxy_0.95,0.59,V201213,1
proxy_0.95,0.59,V201511x,1
proxy_0.95,0.59,V201156,1
proxy_0.95,0.59,race,2
proxy_0.95,0.59,immigrant_deport,2
proxy_0.95,0.59,V201129x,2
proxy_0.95,0.59,V201546,1
proxy_0.95,0.59,ideo7,1
proxy_0.95,0.6,auth_grid_2,5
proxy_0.95,0.6,race,1
proxy_0.95,0.6,immigrant_citizenship,5
proxy_0.95,0.6,pff_dt,15
proxy_0.95,0.6,pff_jb,6
proxy_0.95,0.6,ideo7,2
proxy_0.95,0.6,auth_grid_1,5
proxy_0.95,0.6,faminc_new,2
proxy_0.95,0.6,educ,4
proxy_0.95,0.6,V201215,3
proxy_0.95,0.6,V201160,1
proxy_0.95,0.6,immigrant_deport,1
proxy_0.95,0.61,pff_dt,23
proxy_0.95,0.61,V201215,2
proxy_0.95,0.61,auth_grid_1,2
proxy_0.95,0.61,faminc_new,1
proxy_0.95,0.61,immigrant_citizenship,5
proxy_0.95,0.61,pff_jb,2
proxy_0.95,0.61,V201213,3
proxy_0.95,0.61,educ,4
proxy_0.95,0.61,V201415,3
proxy_0.95,0.61,V201502,1
proxy_0.95,0.61,race,2
proxy_0.95,0.61,auth_grid_2,1
proxy_0.95,0.61,ideo7,1
proxy_0.95,0.62,immigrant_deport,1
proxy_0.95,0.62,auth_grid_2,4
proxy_0.95,0.62,pff_dt,16
proxy_0.95,0.62,immigrant_citizenship,6
proxy_0.95,0.62,auth_grid_1,5
proxy_0.95,0.62,V201617x,1
proxy_0.95,0.62,pff_jb,5
proxy_0.95,0.62,V201421,1
proxy_0.95,0.62,V201215,5
proxy_0.95,0.62,V201502,1
proxy_0.95,0.62,educ,1
proxy_0.95,0.62,V201594,1
proxy_0.95,0.62,V201317x,1
proxy_0.95,0.62,V201214,1
proxy_0.95,0.62,V201213,1
proxy_0.95,0.63,V201243,1
proxy_0.95,0.63,auth_grid_2,2
proxy_0.95,0.63,V201215,4
proxy_0.95,0.63,educ,4
proxy_0.95,0.63,V201155,1
proxy_0.95,0.63,V201415,2
proxy_0.95,0.63,pff_dt,9
proxy_0.95,0.63,V201503,4
proxy_0.95,0.63,auth_grid_1,4
proxy_0.95,0.63,immigrant_deport,2
proxy_0.95,0.63,V201112,1
proxy_0.95,0.63,immigrant_citizenship,6
proxy_0.95,0.63,V201213,1
proxy_0.95,0.63,V201511x,2
proxy_0.95,0.63,V201317x,1
proxy_0.95,0.63,race,2
proxy_0.95,0.63,V201247,1
proxy_0.95,0.63,faminc_new,1
proxy_0.95,0.63,pff_jb,1
proxy_0.95,0.63,V201628,1
proxy_0.95,0.64,V201213,2
proxy_0.95,0.64,auth_grid_1,1
proxy_0.95,0.64,V201511x,2
proxy_0.95,0.64,V201503,1
proxy_0.95,0.64,immigrant_citizenship,1
proxy_0.95,0.64,pff_dt,9
proxy_0.95,0.64,ideo7,1
proxy_0.95,0.64,immigrant_deport,2
proxy_0.95,0.64,V201215,6
proxy_0.95,0.64,race,3
proxy_0.95,0.64,educ,3
proxy_0.95,0.64,faminc_new,2
proxy_0.95,0.64,auth_grid_3,2
proxy_0.95,0.64,V201456,1
proxy_0.95,0.64,pff_jb,6
proxy_0.95,0.64,V201155,1
proxy_0.95,0.64,V201162,1
proxy_0.95,0.64,auth_grid_2,2
proxy_0.95,0.64,V201501,1
proxy_0.95,0.64,V201415,1
proxy_0.95,0.64,V201352,1
proxy_0.95,0.64,V201410,1
proxy_0.95,0.65,auth_grid_2,2
proxy_0.95,0.65,V201511x,5
proxy_0.95,0.65,immigrant_citizenship,7
proxy_0.95,0.65,pff_dt,13
proxy_0.95,0.65,V201112,2
proxy_0.95,0.65,educ,1
proxy_0.95,0.65,V201247,1
proxy_0.95,0.65,V201238,1
proxy_0.95,0.65,V201215,4
proxy_0.95,0.65,immigrant_deport,1
proxy_0.95,0.65,V201456,1
proxy_0.95,0.65,V201206,2
proxy_0.95,0.65,V201503,2
proxy_0.95,0.65,V201594,1
proxy_0.95,0.65,auth_grid_1,1
proxy_0.95,0.65,V201634m,1
proxy_0.95,0.65,faminc_new,1
proxy_0.95,0.65,V201410,1
proxy_0.95,0.65,V201651,1
proxy_0.95,0.65,V201214,1
proxy_0.95,0.65,V201064,1
proxy_0.95,0.66,V201112,4
proxy_0.95,0.66,V201227,1
proxy_0.95,0.66,auth_grid_1,1
proxy_0.95,0.66,V201511x,4
proxy_0.95,0.66,pff_dt,7
proxy_0.95,0.66,immigrant_citizenship,2
proxy_0.95,0.66,V201416,2
proxy_0.95,0.66,V201206,1
proxy_0.95,0.66,V201503,3
proxy_0.95,0.66,V201215,5
proxy_0.95,0.66,V201247,2
proxy_0.95,0.66,V201633g,1
proxy_0.95,0.66,educ,2
proxy_0.95,0.66,V201213,1
proxy_0.95,0.66,V201352,2
proxy_0.95,0.66,faminc_new,1
proxy_0.95,0.66,auth_grid_3,1
proxy_0.95,0.66,V201415,1
proxy_0.95,0.66,V201387,2
proxy_0.95,0.66,V201593,1
proxy_0.95,0.66,pff_jb,1
proxy_0.95,0.66,V201651,1
proxy_0.95,0.66,V201634e,1
proxy_0.95,0.66,V201628,1
proxy_0.95,0.66,V201407,1
proxy_0.95,0.66,V201115,1
proxy_0.95,0.67,educ,2
proxy_0.95,0.67,V201503,3
proxy_0.95,0.67,V201340,1
proxy_0.95,0.67,V201634m,1
proxy_0.95,0.67,V201112,1
proxy_0.95,0.67,V201511x,1
proxy_0.95,0.67,immigrant_citizenship,9
proxy_0.95,0.67,V201507x,1
proxy_0.95,0.67,auth_grid_3,2
proxy_0.95,0.67,V201313,1
proxy_0.95,0.67,V201435,1
proxy_0.95,0.67,V201215,6
proxy_0.95,0.67,pff_dt,4
proxy_0.95,0.67,immigrant_deport,1
proxy_0.95,0.67,V201410,2
proxy_0.95,0.67,auth_grid_1,2
proxy_0.95,0.67,V201248,1
proxy_0.95,0.67,ideo7,1
proxy_0.95,0.67,auth_grid_2,3
proxy_0.95,0.67,V201456,1
proxy_0.95,0.67,V201415,1
proxy_0.95,0.67,V201651,1
proxy_0.95,0.67,V201247,1
proxy_0.95,0.67,V201213,3
