Target Correlation,Orthogonality Weight,Proxy,Count
proxy_0.90,0.0,presvote20post,45
proxy_0.90,0.0,senvote20post,3
proxy_0.90,0.0,pff_dt,2
proxy_0.90,0.55,pff_dt,35
proxy_0.90,0.55,senvote20post,3
proxy_0.90,0.55,housevote20post,1
proxy_0.90,0.55,immigrant_deport,4
proxy_0.90,0.55,presvote20post,6
proxy_0.90,0.55,proxy_0.90,1
proxy_0.90,0.56,pff_dt,32
proxy_0.90,0.56,immigrant_deport,6
proxy_0.90,0.56,presvote20post,10
proxy_0.90,0.56,proxy_0.90,2
proxy_0.90,0.57,pff_dt,29
proxy_0.90,0.57,proxy_0.90,7
proxy_0.90,0.57,housevote20post,1
proxy_0.90,0.57,presvote20post,4
proxy_0.90,0.57,senvote20post,2
proxy_0.90,0.57,immigrant_deport,6
proxy_0.90,0.57,ideo7,1
proxy_0.90,0.58,pff_dt,31
proxy_0.90,0.58,proxy_0.90,8
proxy_0.90,0.58,presvote20post,1
proxy_0.90,0.58,immigrant_deport,8
proxy_0.90,0.58,housevote20post,1
proxy_0.90,0.58,ideo7,1
proxy_0.90,0.59,pff_dt,28
proxy_0.90,0.59,proxy_0.90,12
proxy_0.90,0.59,immigrant_deport,5
proxy_0.90,0.59,presvote20post,3
proxy_0.90,0.59,senvote20post,1
proxy_0.90,0.59,ideo7,1
proxy_0.90,0.6,proxy_0.90,30
proxy_0.90,0.6,pff_dt,12
proxy_0.90,0.6,immigrant_deport,5
proxy_0.90,0.6,auth_grid_1,1
proxy_0.90,0.6,housevote20post,2
proxy_0.90,0.61,proxy_0.90,31
proxy_0.90,0.61,pff_dt,10
proxy_0.90,0.61,immigrant_deport,9
proxy_0.90,0.62,proxy_0.90,36
proxy_0.90,0.62,auth_grid_1,1
proxy_0.90,0.62,pff_dt,10
proxy_0.90,0.62,immigrant_deport,3
proxy_0.90,0.63,proxy_0.90,38
proxy_0.90,0.63,pff_dt,7
proxy_0.90,0.63,immigrant_deport,5
proxy_0.90,0.64,pff_dt,2
proxy_0.90,0.64,proxy_0.90,44
proxy_0.90,0.64,immigrant_deport,3
proxy_0.90,0.64,auth_grid_1,1
proxy_0.90,0.65,proxy_0.90,40
proxy_0.90,0.65,immigrant_deport,6
proxy_0.90,0.65,auth_grid_1,3
proxy_0.90,0.65,pff_dt,1
proxy_0.90,0.66,proxy_0.90,44
proxy_0.90,0.66,auth_grid_1,4
proxy_0.90,0.66,immigrant_deport,1
proxy_0.90,0.66,pff_dt,1
proxy_0.90,0.67,proxy_0.90,41
proxy_0.90,0.67,immigrant_deport,2
proxy_0.90,0.67,auth_grid_1,4
proxy_0.90,0.67,auth_grid_3,3
proxy_0.90,0.68,proxy_0.90,46
proxy_0.90,0.68,auth_grid_3,1
proxy_0.90,0.68,auth_grid_1,3
proxy_0.90,0.69,proxy_0.90,35
proxy_0.90,0.69,auth_grid_3,5
proxy_0.90,0.69,auth_grid_1,9
proxy_0.90,0.69,immigrant_deport,1
proxy_0.90,0.7,proxy_0.90,36
proxy_0.90,0.7,auth_grid_1,6
proxy_0.90,0.7,auth_grid_3,8
proxy_0.90,0.71,auth_grid_1,9
proxy_0.90,0.71,auth_grid_3,10
proxy_0.90,0.71,proxy_0.90,23
proxy_0.90,0.71,index,8
proxy_0.90,0.72,index,39
proxy_0.90,0.72,auth_grid_1,7
proxy_0.90,0.72,auth_grid_3,3
proxy_0.90,0.72,proxy_0.90,1
proxy_0.90,0.73,index,44
proxy_0.90,0.73,auth_grid_1,3
proxy_0.90,0.73,auth_grid_3,2
proxy_0.90,0.73,turnout20post,1
proxy_0.90,0.74,index,48
proxy_0.90,0.74,turnout20post,1
proxy_0.90,0.74,auth_grid_1,1
proxy_0.90,0.75,index,50
