Target Correlation,Orthogonality Weight,Proxy,Count
proxy_0.95,0.8,V201131,2
proxy_0.95,0.8,V201631j,3
proxy_0.95,0.8,V201247,1
proxy_0.95,0.8,V201160,2
proxy_0.95,0.8,V201512,1
proxy_0.95,0.8,V201554,4
proxy_0.95,0.8,V201036,2
proxy_0.95,0.8,V201565x,1
proxy_0.95,0.8,V201062y,2
proxy_0.95,0.8,V201388,3
proxy_0.95,0.8,V201630p,2
proxy_0.95,0.8,V201631c,1
